,Better Diets and Nutrition.pdf,Breeding For Tomorrow.pdf,Capacity Sharing.pdf,Climate Action.pdf,Digital Transformation.pdf,Food Frontiers and Security.pdf,Gender Equality and Inclusion.pdf,Genebanks.pdf,Multifunctional Landscapes.pdf,Policy Innovations.pdf,Scaling for Impact.pdf,Sustainable Animal and Aquatic Foods.pdf,Sustainable Farming.pdf
ITALY Junior Professional Officer Program 2024 - Research Officer -Sagliocco Livia,0.18520181,0.11691734,0.3219766,0.2570758,0.23760788,0.3158275,0.20719913,0.1279363,0.23529623,0.3225985,0.3212604,0.22458088,0.21260884
"NETHERLANDS-MOA-Development of value chains for Priority neglected and underutilized species in Kenya, Uganda, Zambia and Zimbabwe",0.45547235,0.49016565,0.43969622,0.42901444,0.31484056,0.5205394,0.3154957,0.47013116,0.42180166,0.44750568,0.45806006,0.4690516,0.49901667
"EC Improving nutrition in Africa by strengthening the diversity, sustainability, resilience and connectivity of food systems (Healthy Food Africa)",0.6918981,0.5292177,0.58275837,0.460017,0.37085333,0.6607571,0.36130765,0.39589614,0.47815683,0.5700872,0.58821654,0.64552206,0.60738814
A-HP2023-002-MasterCard - WAEMU,0.38264886,0.47577456,0.42096886,0.31262153,0.2489415,0.38694158,0.30172122,0.39463255,0.34939212,0.3709004,0.4005073,0.39861783,0.4692762
A-AG10185-A-AG10185-Building resilient seed systems for rice,0.4511417,0.583965,0.40384707,0.29373547,0.21735775,0.4877554,0.24432564,0.49039552,0.4100712,0.36955318,0.37583536,0.45939544,0.514643
A-AG10181-BMGF MultiHarvestRice,0.3256474,0.41702744,0.37094602,0.34660774,0.16042896,0.4032783,0.23018485,0.34503648,0.4031212,0.3356502,0.29635385,0.2798504,0.47333238
A-AG10173-HealthyDiets4Africa,0.60880744,0.5243353,0.40402246,0.35030857,0.22364493,0.5361584,0.24842449,0.4563759,0.48573914,0.40417,0.36384094,0.49833646,0.57234854
A-AG10140-KAFACI Phase 3,0.41688266,0.43295875,0.47838545,0.35450944,0.28016427,0.44872534,0.2828207,0.38855237,0.39446673,0.4380624,0.41327983,0.42334175,0.5515347
A-HP2023-003-World Bank-Food Systems Resilience,0.47381946,0.56943965,0.47605616,0.5107298,0.30546576,0.5795106,0.32196385,0.4983369,0.51491934,0.52786976,0.4139652,0.47541735,0.71942407
A-AG10179-AfDB TAAT 2,0.36629024,0.5759028,0.45019782,0.38315538,0.29020256,0.44038808,0.3357631,0.4748692,0.4126651,0.41307414,0.361634,0.3665488,0.55375856
A-AG10156 AICCRA PROJECT,0.4547558,0.5350428,0.53396994,0.5404045,0.31909493,0.5544011,0.35242617,0.48267636,0.5436877,0.52744544,0.45558882,0.4711268,0.6891454
A-AG1017TAAT2-TAAT Phase 2,0.3665791,0.568087,0.4478349,0.3777448,0.27248952,0.4470059,0.33566338,0.44937992,0.40605047,0.40995476,0.36088324,0.35974684,0.5528005
A-CNP10024-DEFIS,0.38256538,0.48541874,0.4484341,0.3981536,0.3192616,0.4776818,0.26930463,0.42125812,0.4214355,0.43364725,0.40268856,0.41481635,0.5605606
A-AG10171-ARISE PDRCC,0.24304366,0.32004148,0.42573822,0.3376067,0.38961837,0.39009008,0.31533614,0.3270333,0.36378038,0.3680803,0.41055188,0.31994402,0.32796016
A-AG10170-IITA/EC BRECOMA,0.44148636,0.39845517,0.5138954,0.51648855,0.3137449,0.59215665,0.35451454,0.42975938,0.52481824,0.5259599,0.4374056,0.50337696,0.5385517
A-AG10190-MEADEN Project,0.33717594,0.40107933,0.50873554,0.386068,0.32350484,0.4439916,0.29576334,0.359862,0.44536808,0.45587984,0.4471141,0.39722258,0.4831679
A-AG10138-EU CORAF ABEE,0.3778436,0.6060037,0.47454655,0.43666032,0.26207882,0.46235847,0.33970916,0.5045881,0.48293337,0.43912005,0.4138733,0.40772,0.54031205
A-AG10155-IFAD Zero Hunger,0.45628542,0.45998126,0.43366477,0.3860065,0.2537238,0.5049867,0.2713357,0.4012525,0.42007628,0.43347344,0.37602642,0.46259958,0.5636415
A-AG10189-Collaborative Agreement Saskatchewan,0.40434667,0.43433428,0.52026165,0.48268366,0.30100495,0.46772617,0.3040748,0.47252116,0.4807645,0.435304,0.37556365,0.39305753,0.54597443
A-HP2023-006-FIRCA Fabrication of GEM,0.21560863,0.24311863,0.23536022,0.0853593,0.10578546,0.18065321,0.11760295,0.20752284,0.19325204,0.15254177,0.19870496,0.13737108,0.29339695
A-ACE4ES,0.4401129,0.45672804,0.4714422,0.5267406,0.38836658,0.52197915,0.43463412,0.42708084,0.5980354,0.5419548,0.44238263,0.45707068,0.53917646
A-AG10183-SGP-AGGRI2 Accelerating Genetic Gain and Varietal,0.108267695,0.28144994,0.13087022,0.05722956,0.03525065,0.1278208,0.1090681,0.25649327,0.15282966,0.11244507,0.09774894,0.07822468,0.20077235
A-AG1017WorldBank-CGIAR Contribution to the Food Systems Res,0.45577163,0.36235803,0.44050658,0.32498246,0.23400834,0.53412175,0.23128416,0.32287246,0.30569968,0.32158256,0.30301276,0.42732245,0.51301324
D-100894- UAE -Red Palm Weevil,0.37299848,0.41971466,0.43569168,0.37454048,0.29100448,0.43114352,0.27854005,0.39523903,0.3820952,0.36091903,0.34821826,0.3723643,0.49320102
D-100893-Comprehensive Project on Rice Fallow Management (CRFM),0.2744163,0.37169498,0.3136162,0.22819385,0.17612422,0.28836992,0.13411452,0.24449426,0.23762497,0.23435736,0.24011864,0.28406,0.42686647
D-100814-KFAED: Kuwait IDFS,0.34652954,0.40879995,0.5091697,0.4067005,0.3201235,0.44523668,0.3102415,0.37248042,0.4047896,0.44586352,0.44061106,0.41671342,0.5112211
D-100815-KFAED - CD,0.28607458,0.32605726,0.45876408,0.37050986,0.27597946,0.3830764,0.277962,0.31794065,0.36323047,0.44942713,0.3852339,0.32607293,0.4314031
D-100777-GCC Date Palm,0.4125461,0.47824034,0.5668247,0.42842534,0.27465728,0.47992095,0.38277894,0.42165715,0.51557463,0.47758663,0.48805442,0.43750155,0.520454
D-200086-Ultra-Low Energy Drip Irrigation for MENA Countries,0.41847232,0.5593427,0.59535813,0.4850744,0.2887216,0.51606816,0.40582272,0.5254764,0.52154064,0.4732874,0.46752992,0.43004748,0.6250417
D-200349-Technologies for African Agriculture Transformation,0.29567534,0.38520175,0.44500676,0.32538205,0.2171252,0.40168396,0.2529777,0.36597547,0.35543132,0.41495466,0.3842498,0.2974071,0.46486047
"D-200375-ICARDA - Screening, developing, and deploying anti-",0.3282291,0.5311389,0.34835878,0.2517119,0.2030987,0.37911788,0.20707682,0.53830165,0.30632302,0.28858975,0.3223208,0.35315815,0.3858913
D-200385-BMGF - Anti-methanogenic feedstock for livestock,0.37740737,0.35590896,0.35916287,0.284718,0.16478413,0.40333208,0.18618606,0.36349016,0.26773906,0.3123786,0.3250278,0.42709768,0.39812636
D-200347-India Collaborative Program 2022/2023 to 2026/2027,0.29270637,0.46835288,0.36516812,0.2645522,0.102817215,0.32212833,0.17259498,0.42794436,0.35983515,0.26257503,0.22624153,0.21915145,0.39483744
D-100860-PRIMA: Rain2Food - Deploying modern and ancestral rain capturing methods to maximize the resilience of Mediterranean dry farming communities,0.3160296,0.41394335,0.3989211,0.38030058,0.2397564,0.40380523,0.2902045,0.44481653,0.48055443,0.42187405,0.39002824,0.33797815,0.5008177
D-100892-Intensive Agriculture Program including Revival and Sustainable Intensification of Forgotten Crops (IAP),0.34614635,0.5032985,0.3990058,0.320857,0.18134923,0.44515094,0.2759308,0.4184255,0.4118182,0.43521732,0.36806783,0.35815686,0.5172007
D-100796-ACIAR Livestock,0.3939233,0.51366436,0.52889717,0.38827264,0.27556393,0.47865906,0.33869246,0.40895662,0.47993368,0.4630827,0.46984863,0.50809014,0.52541155
D-200369-Fertilize Right - Pakistan,0.4757297,0.47496542,0.43885177,0.50219977,0.31189334,0.50034267,0.43288323,0.45296878,0.48070714,0.4686365,0.3891085,0.42896202,0.5417179
"D-100867-PRIMA: Lost and found: Neglected and Underutilized Species (NUS) and water harvesting for building climate change resilience, soil fertility, dietary diversity, and women’s empowerment",0.45531574,0.6007566,0.55658615,0.56392294,0.39746806,0.53084904,0.5301032,0.5367586,0.64014816,0.44904253,0.48220158,0.5533202,0.6535853
D-200287-OIIPCRA - Farmers Collectives Participatory Upscali,0.4425571,0.50135124,0.41120982,0.33870283,0.2795983,0.42314732,0.29858863,0.37552986,0.35276952,0.37026468,0.31386554,0.3877684,0.5261099
D-100891-Unlocking the Potential of biofortified Lentil through Intensification of rice Fallows to Transform agri-food systems (UPLIFT),0.3034425,0.40411723,0.270496,0.13954303,0.1674426,0.2489359,0.15203959,0.28497198,0.2402655,0.21177858,0.23637286,0.2521602,0.36244056
D-200390-UK-CGIAR Collaboration: Leveraging genetic innovations for a,0.36023188,0.5818122,0.40728047,0.37069508,0.2970204,0.41945827,0.31963846,0.59846264,0.3911325,0.34175152,0.3131691,0.29145,0.4962637
D-100873-PRIMA: Transnational network for the co-benefits of water harvesting technologies for food security,0.35423118,0.41544044,0.53788644,0.4486923,0.3174572,0.47361636,0.41491318,0.4137908,0.43989316,0.45400116,0.44298056,0.47135264,0.49989906
D-200314-BarleyMicroBreed: Strategies for breeding climate c,0.2294982,0.4478631,0.21686785,0.2410638,0.10104309,0.2572284,0.12659493,0.51398104,0.32723007,0.18673536,0.1956066,0.13231777,0.41335312
D-100858 -PRIMA: Development of sustainable and nutraceutical Mediterranean style breads through cost-effective solutions reducing grain losses and food wastes,0.5030015,0.51133084,0.3488347,0.24695426,0.15318695,0.40982777,0.18574579,0.415438,0.3295963,0.28146186,0.29239914,0.3570565,0.41193265
D-100817-AFESD Dryland Academy,0.4117546,0.44374132,0.5210414,0.4342128,0.28649664,0.51620394,0.32707918,0.439316,0.4207583,0.49707714,0.40232503,0.4271621,0.5236458
"D-200384-Tasks within FAO Food System, Land Use and Restorat",0.30409926,0.3889974,0.357701,0.4030434,0.2563076,0.36609995,0.24399902,0.40560457,0.5718457,0.40950605,0.3777121,0.29306644,0.56752515
D-200398-Transforming the Mediterranean Region through Agroforestry:,0.3768902,0.38555235,0.56412053,0.44388336,0.3799499,0.46616122,0.3732471,0.4462807,0.5484066,0.55980945,0.5681555,0.41127026,0.55898106
D-100735-Barley quality traits,0.37975723,0.52442163,0.37379736,0.2884873,0.2217143,0.34691587,0.19615088,0.5780294,0.3566361,0.27415952,0.22710706,0.3025646,0.4920929
"D-100865-PRIMA: Water Mellon: Harnessing water saving approaches, drought and salinity resilient species to address extreme drought in arid and semi-arid environments of the Mediterranean region to create sustainable and resilient agricultural systems on-farm",0.38882706,0.504658,0.50477916,0.4103415,0.26714906,0.42847455,0.3204555,0.44878376,0.5145042,0.42746407,0.43741515,0.40189278,0.6174285
D-200394-Program 2- International host / pathogen Differential Sets:,0.3817199,0.5053515,0.50744617,0.43242982,0.32367316,0.5046665,0.34787652,0.5721123,0.5446326,0.5189696,0.51083624,0.42131045,0.5632507
D-200358-Enhancing Food Security and Climate Resilience in Morocco and Tunisia,0.45634502,0.6487723,0.4933759,0.49557188,0.2544469,0.52895045,0.37991968,0.540074,0.504303,0.41903865,0.4080902,0.4195518,0.5864698
D-100838-GRDC Genetic Diversity,0.31824052,0.6045238,0.2942298,0.27055866,0.13854092,0.3300192,0.2059551,0.54444623,0.37404823,0.2571134,0.21559094,0.2836881,0.39120695
D-100894-BMGF: Preparatory phase for the Red Palm Weevil project,0.35838577,0.37859222,0.36820307,0.35067967,0.27115646,0.40655598,0.22756405,0.42501307,0.34371507,0.38549837,0.37360105,0.34913605,0.4377819
D-200370-Smart Agricultural Marketing for Improved Food Secu,0.5604916,0.4392744,0.38925505,0.3151616,0.16345339,0.535993,0.26154098,0.3265968,0.40137556,0.3816545,0.35659844,0.5104499,0.5047951
D-200352-SOILS4MED -Soil Health Monitoring and Information,0.24956086,0.3290674,0.346767,0.30744854,0.3284422,0.3429129,0.15560538,0.40000898,0.36145547,0.35921633,0.2851531,0.25210592,0.50091875
D-200364-Wheat Disease Early Warning Advisory System DEWAS,0.371022,0.5033137,0.45165154,0.44302028,0.43367553,0.48193225,0.29161072,0.55902183,0.39165217,0.41582057,0.4080314,0.34413424,0.5772471
D-200359-Breeding European Legumes for Increased Sustainability,0.3193329,0.5884549,0.2911992,0.20152938,0.1703219,0.29126215,0.13300626,0.46898717,0.30879486,0.23351157,0.2797863,0.3278829,0.39425096
D-200261-Egypt Bilateral Program 2020-2021 and 2021-2022,0.34828758,0.42151493,0.38036472,0.33537954,0.21215953,0.3942285,0.2899522,0.43813568,0.39106098,0.3930036,0.32194212,0.3889926,0.44480848
D-200271-Protecting Ethiopian Lentil Crops,0.3327312,0.4998589,0.31550518,0.21980569,0.15487818,0.37919503,0.15937433,0.41782972,0.31277293,0.27085468,0.29085273,0.32773075,0.4272518
D-200371-Development and Scaling of Introduced Plant Species,0.36609808,0.47617477,0.3235306,0.3218571,0.108671255,0.35970554,0.21854599,0.38778558,0.38260713,0.31089735,0.29152554,0.37016442,0.47127625
"D-200388-Back to the future, from landraces to high-yielding, heat an",0.2844417,0.53608125,0.3051772,0.33981955,0.1741987,0.33282882,0.28551137,0.5691581,0.36913264,0.23910123,0.205468,0.2582082,0.41684663
D-200337-WEFE4MED - Towards a Mediterranean WEFE Nexus,0.3649671,0.3836624,0.49691898,0.4704105,0.513452,0.44428518,0.4221427,0.45283425,0.45799264,0.5073264,0.54416424,0.41183802,0.46211317
D-200355-Participation Agreement for Supply of Materials,0.283787,0.39927903,0.4031694,0.28351635,0.279282,0.31539002,0.23647492,0.39037216,0.3006266,0.23792042,0.276856,0.3417842,0.3410738
D-200340-CARINA - CARinata and CamelINA to boost the sustain,0.41824928,0.48124698,0.50282025,0.3706317,0.30337325,0.3861109,0.26786748,0.42712122,0.39448297,0.41222194,0.44365305,0.48074788,0.42012417
D-200323-Root2Resilience: Root phenotyping and genetic improvement,0.2876313,0.51549,0.31185275,0.35692012,0.14520508,0.33320096,0.20307381,0.5411583,0.41927445,0.27170536,0.2531916,0.2165153,0.4989742
D-200341-NATAE - Fostering agroecology transition in North Africa,0.4846382,0.49471602,0.497226,0.5063459,0.3497237,0.5256348,0.35604417,0.49473315,0.6006756,0.54472476,0.54378104,0.50552684,0.5705011
D-200392-Sustainable Investments for Large-Scale Rangeland Restoratio,0.34493384,0.42363593,0.4975728,0.5020592,0.38674995,0.500052,0.38675627,0.45090804,0.49445903,0.48480812,0.5437151,0.47086108,0.5190996
D-200322-MOUNTAINHER-Empowering Women Associations as Driver,0.45323732,0.5118043,0.4978864,0.40398556,0.30037808,0.45215458,0.39415836,0.4226753,0.5424857,0.3158749,0.40785983,0.5072732,0.56608504
D-200267-Agreement with SFC for Wheat Germplasm,0.22956192,0.43188012,0.2697577,0.19699824,0.1405138,0.27637354,0.17245361,0.45554787,0.23952267,0.20499432,0.17191173,0.17541842,0.31555834
D-200366-Innovative Desert Farming for Resilient Livelihoods,0.34914905,0.4150626,0.4704564,0.42557442,0.2861869,0.50686014,0.3200216,0.39957577,0.47247288,0.46603394,0.41725084,0.4375271,0.5446017
D-200319-Accelerating genetic gain in wheat through hybrid breeding,0.26228073,0.5497409,0.2919681,0.2189778,0.09103746,0.30100754,0.18974084,0.4359708,0.30095154,0.2799555,0.24626061,0.23024212,0.36458197
D-200344-Lentil and Chickpea Development in teh Mediterranea,0.23198122,0.48923716,0.29102555,0.1991476,0.122055106,0.25949982,0.17730778,0.5026939,0.31566116,0.19336475,0.2078133,0.21343538,0.33147585
D-200329-FARMS4CLIMATE- Smart Governance and Operational Mod,0.4357515,0.48339772,0.55939955,0.4942881,0.42442834,0.47865763,0.36879838,0.48255724,0.5272551,0.5042314,0.54398686,0.49918377,0.584829
D-200368-Project for Enhancement of Agriculture Productivity,0.2557672,0.38817182,0.41515037,0.27985927,0.20583321,0.30648914,0.2601594,0.3064512,0.35949567,0.33359233,0.35109928,0.32758206,0.4861396
D-200210-Activated GEnebank NeTwork (AGENT),0.29833335,0.5738575,0.35862538,0.292962,0.26281872,0.30220413,0.22989137,0.7278366,0.3515419,0.24236934,0.26056123,0.29675245,0.45460615
D-200273-Mediterranean Diet with Improved Nutritional and Health Valu,0.4011926,0.34122506,0.25886598,0.14223394,0.12924567,0.29028192,0.042333484,0.2586134,0.21328753,0.18571715,0.21462137,0.2921271,0.34931064
D-200269-Services related to: From reactive response to info,0.48688927,0.4546676,0.53293335,0.6260722,0.41565958,0.6165343,0.432993,0.38322243,0.53509563,0.6074041,0.5120376,0.5495017,0.6539988
D-200211-Intelligent Collections of Food Legumes Genetic Res,0.38236064,0.59565955,0.39281666,0.2907238,0.22618023,0.38558778,0.25901636,0.59600794,0.44342366,0.29278114,0.29792145,0.41218206,0.4886379
D-100200-Providing long-term funding for ex situ collections of germp,0.3598849,0.45893204,0.4310309,0.40868667,0.3422608,0.4120842,0.40748322,0.39101523,0.41009384,0.3647464,0.37196192,0.40816656,0.50784326
D-200221-Morocco Collaborative Grants Program (MCGP) Phase IV 2020 -,0.42601174,0.56141627,0.58912975,0.47776362,0.28191385,0.5330682,0.3976148,0.53669935,0.54567593,0.47765604,0.49233052,0.452678,0.6025175
D-200229-Strengthening National Capacities and Regional Integration f,0.44399002,0.6557406,0.52300155,0.49639496,0.28369024,0.5767631,0.4244827,0.7070716,0.593591,0.46483982,0.40920573,0.44959146,0.59581983
D-200257-Accelerating Impacts of CGIAR Climate Research for Africa (A,0.50289685,0.6199695,0.62496716,0.63782614,0.46944126,0.59874445,0.49910834,0.54238564,0.57922775,0.61113966,0.53450537,0.50744987,0.7095545
D-200318-Turkey Bilateral Program 2022,0.30487862,0.43357787,0.43603906,0.32275355,0.17492594,0.37627685,0.2618787,0.40984678,0.30509302,0.35693893,0.28967676,0.305196,0.46904528
D-200320-Syrian 2022 Contribution for Joint Syria/ICARDA Collaborativ,0.20209186,0.1815761,0.3149644,0.31054598,0.18518476,0.3666111,0.25406033,0.26878563,0.23237039,0.32748085,0.25658488,0.2287525,0.23612788
D-200386-Support to upgrade Genebank in Baghdad and creation of a gen,0.25885123,0.50198704,0.3781355,0.30982172,0.25179484,0.3615829,0.25145712,0.6848315,0.3514605,0.3151294,0.35730675,0.34263507,0.43009493
R-A-2024-19-ISARC Phase III,0.40858182,0.4186508,0.38936126,0.35588017,0.23374566,0.4961285,0.3430084,0.29638305,0.3916631,0.39839667,0.3453958,0.41346642,0.44815645
R-A-2024-3-2024-2028LPA,0.20567866,0.47127223,0.2868305,0.23699035,0.18164809,0.32025862,0.22116433,0.5926159,0.29359612,0.23391055,0.18431048,0.204919,0.39248732
R-A-2022-52-Direct Seeding Indo Gangetic,0.15562364,0.56181145,0.21965282,0.10545206,0.069398604,0.13839151,0.1414904,0.46250534,0.20637831,0.11261282,0.1534793,0.18033361,0.26989865
A-2023-34 ASEAN-CG,0.54013306,0.4216358,0.5324864,0.40132442,0.26266602,0.54713666,0.31937605,0.32515433,0.40630823,0.565634,0.48766458,0.5004975,0.54114985
R-A-2021-28-KOICA-UPLB Project,0.21131037,0.30349928,0.32444936,0.2934023,0.3327875,0.26734176,0.22907025,0.40685105,0.25588647,0.2777941,0.26750103,0.23992789,0.26528195
R-A-2022-46-Smallholder Rice Farmers,0.25585884,0.4997778,0.34491995,0.2606966,0.27549908,0.30534193,0.19234748,0.39680308,0.32655776,0.2615286,0.33261135,0.2692268,0.51923996
R-A-2019-188-GCF Thailand,0.32014307,0.3953741,0.36161417,0.43594286,0.19252601,0.41010866,0.31492648,0.31424266,0.39428234,0.45386374,0.34643793,0.34885696,0.48887983
R-A-2022-126-IRRI-UASB-PRiDe,0.26882213,0.40950128,0.29860118,0.2018874,0.12923795,0.30347547,0.22113454,0.34593526,0.29619154,0.28397077,0.22416846,0.2466814,0.4266409
R-A-2019-137-PPP Ph2,0.29571092,0.49447605,0.34468815,0.17809713,0.1615676,0.3062676,0.19898817,0.41352826,0.22921619,0.26368272,0.24134293,0.27647796,0.3794196
A-2024-18,0.3472144,0.30686438,0.39721847,0.42308125,0.32100177,0.40711424,0.28753054,0.2847013,0.336368,0.4574313,0.42643818,0.3422551,0.47365853
A-2023-56,0.3574388,0.45375982,0.40614244,0.30650297,0.21994586,0.38231415,0.28556827,0.35995296,0.36075294,0.43076393,0.34741038,0.3652586,0.4976375
R-A-2023-19-EBS Phase 3,0.22208267,0.5644002,0.2273081,0.17790674,0.20099574,0.2082947,0.11954736,0.5018795,0.21066311,0.15770255,0.17873664,0.25460613,0.2928918
R-A-2021-76-Allele mining,0.3698301,0.64256865,0.38867325,0.40377992,0.258909,0.40080035,0.33322492,0.60312605,0.47023878,0.35417655,0.32611465,0.33719453,0.5318884
R-A-2022-80-REMET,0.26573962,0.3399821,0.28029346,0.3473709,0.13645026,0.30483183,0.17741664,0.2727064,0.3569512,0.33749816,0.27084848,0.24809457,0.46500987
R-A-2023-46-SGP-GENOME EDITING Genome Editing Project,0.24592298,0.32735702,0.33424965,0.23775807,0.34072718,0.25595433,0.338273,0.45150715,0.2833918,0.2987793,0.33845347,0.2615733,0.2920792
R-A-2023-34-SGP-AGGRI2 AGGRI Project,0.19054832,0.53206086,0.2590966,0.18628044,0.11907685,0.22698486,0.15971826,0.47967678,0.28062066,0.2030564,0.19673146,0.18163915,0.31814873
R-A-2022-85-OneRicePH,0.34249207,0.55849504,0.3208027,0.20859481,0.13455483,0.3616983,0.17819488,0.45903024,0.3275448,0.27718702,0.248743,0.30084407,0.42985365
R-A-2022-31-IFRS Conversion (W3R),-0.042005304,-0.002955277,-0.010453107,0.025506975,0.038692698,0.010515385,0.023795642,0.072509974,0.0033398012,-0.044191282,-0.039936163,0.00061772333,0.039271444
R-A-2022-71-ICAR 2023 - 2027,0.32663804,0.47456053,0.3570559,0.32776162,0.19043824,0.37319165,0.29219937,0.3832154,0.33691654,0.35116422,0.26930884,0.2856292,0.46711046
R-A-2022-118-Credits Offsetting,0.46169978,0.4222188,0.48489097,0.5251573,0.31245974,0.492694,0.36229795,0.40494496,0.46679693,0.459253,0.50901824,0.43876874,0.47985497
A-2019-180,0.33378202,0.4235487,0.4489495,0.445865,0.25024554,0.4180749,0.31201127,0.2946507,0.38985568,0.49669912,0.32195428,0.39377108,0.611321
R-A-2023-20-DSR-India,0.24698652,0.35291764,0.28704098,0.2024485,0.20867224,0.2741855,0.17991278,0.28195602,0.22922148,0.26315272,0.263107,0.2250748,0.4007282
R-A-2023-116-Entrep Rice Value Addition,0.42178547,0.4098194,0.34423795,0.2231872,0.15700908,0.38697416,0.28676546,0.24613671,0.28671628,0.2382695,0.29261273,0.40359846,0.44883847
R-A-2023-11-Specialty Rice,0.38454378,0.38514182,0.37773028,0.18364058,0.17090967,0.32544336,0.2493218,0.26303306,0.3085236,0.3355167,0.28898263,0.31086928,0.41330513
A-2012-35 HRDC,0.26061073,0.4110317,0.30719468,0.18738793,0.1477831,0.29511315,0.21690512,0.3987573,0.2613699,0.29549047,0.25489423,0.21521239,0.34757173
A-2023-106,0.37504148,0.3592039,0.44448712,0.33191884,0.23417363,0.41204837,0.28454456,0.27767852,0.32481056,0.45434237,0.4066449,0.37619814,0.4756935
R-A-2023-93-Taiwan COA,0.16124734,0.39368275,0.24195099,0.17556402,0.15862519,0.25760716,0.12999368,0.44853333,0.23530273,0.18373886,0.147854,0.1805324,0.36532432
R-A-2012-17-TRRC,0.32152852,0.34252238,0.3468702,0.30981603,0.17500311,0.3529609,0.23214939,0.34575552,0.30239767,0.34851435,0.30167314,0.24989069,0.39982778
R-A-2021-32-InnovGenomics,0.14800513,0.33985862,0.18959162,0.20571296,0.18467186,0.2720244,0.11845608,0.49824646,0.22980514,0.15972723,0.17338394,0.14856203,0.2910064
R-A-2022-53-RiceEco,0.3098143,0.37844414,0.35672244,0.28548086,0.23201649,0.3400129,0.20972134,0.32526043,0.35699895,0.3491989,0.33965546,0.31241596,0.43647662
R-A-2019-185-TGMS Study Group,0.20755044,0.3384241,0.20555657,0.16829002,0.079523586,0.21744466,0.1443982,0.2758922,0.2012946,0.14227378,0.10788011,0.17557304,0.3035166
R-A-2023-9-Genebank-AI,0.12664981,0.44150835,0.27164486,0.2298501,0.1668852,0.19030134,0.1598066,0.50106466,0.24598518,0.19087847,0.16986927,0.19078335,0.3508017
R-A-2019-78-ClimateResilient-TonleSapCambodia,0.3583089,0.38511485,0.36246684,0.4730728,0.24187091,0.4683438,0.28073412,0.31016293,0.45390365,0.46173474,0.3418008,0.45875493,0.55108476
R-A-2022-8-Salt-Drought Tolerant Rice Cultivars,0.13519776,0.3087584,0.18074822,0.16212963,0.01681695,0.19035612,0.11892234,0.37580273,0.22708406,0.1397956,0.08082379,0.106171526,0.2777681
A-2024-11,0.4704138,0.3895406,0.49542215,0.6163548,0.32138708,0.58920085,0.41165134,0.37889084,0.5520938,0.60980904,0.57757586,0.4709685,0.5843454
A-2020-117,0.39287928,0.5152002,0.46428242,0.5225048,0.3913644,0.49996665,0.409901,0.48046583,0.52381635,0.50124574,0.44216347,0.4578514,0.64764297
R-A-2023-18-Drones4Rice,0.2675335,0.39825264,0.34227994,0.24835068,0.25508484,0.2805406,0.18604256,0.2994069,0.30869135,0.2574258,0.2907899,0.3098809,0.44281977
R-A-2023-31-Resilient Odisha,0.3360626,0.42698273,0.41046792,0.46400946,0.2509331,0.45345306,0.3028674,0.36202207,0.4453649,0.4553886,0.36288795,0.392496,0.61094666
R-A-2023-49-CRA Mekong,0.3865963,0.3502733,0.441637,0.5176622,0.3016981,0.52786034,0.36103258,0.32554767,0.5000873,0.543381,0.4692146,0.49956685,0.555447
R-A-2023-43-dynAg,0.28538108,0.39466816,0.38175818,0.31258819,0.41814557,0.23922999,0.25129044,0.3921495,0.26199484,0.2779437,0.32759002,0.32944897,0.45934153
R-A-2023-25-C4 Offshoots,0.2490157,0.53260666,0.31460312,0.2524039,0.1878875,0.29781598,0.1780777,0.51273435,0.2960676,0.2533739,0.25223637,0.21147373,0.4039021
A-2023-40,0.2683687,0.23047796,0.28850976,0.2755113,0.10301209,0.28351757,0.16627505,0.23900688,0.2651458,0.30099753,0.19329512,0.25912127,0.44727927
R-A-2021-13-RCM-Indonesia,0.34399983,0.37569526,0.37889993,0.24712087,0.2529696,0.37626994,0.22561094,0.33637682,0.27198133,0.34931657,0.32826835,0.33205068,0.46464324
R-A-2018-92-KGF for the Haor project,0.27636495,0.4512707,0.36087558,0.24506406,0.13073368,0.32306728,0.1892311,0.31929272,0.29868737,0.24401172,0.26940098,0.28711978,0.3966967
R-A-2022-110-AMR,0.29725865,0.35275084,0.4304328,0.3609332,0.284998,0.3635846,0.32996514,0.3247066,0.35644063,0.4050884,0.40922654,0.35077417,0.42889315
R-A-2023-67-MHRA,0.36118063,0.4320935,0.35942575,0.28957877,0.12890165,0.36896315,0.25633195,0.29068345,0.3397509,0.3031348,0.302973,0.33585662,0.504225
R-A-2021-8-CSISA 4.0,0.35762173,0.37254566,0.4572962,0.3197769,0.40120557,0.42005137,0.3327313,0.3463648,0.3336109,0.44393617,0.46014005,0.33842024,0.44112328
R-A-2023-90-OPTIMA-Rice,0.27006269,0.3442361,0.3412225,0.29750246,0.18401547,0.31758553,0.20880218,0.2918152,0.30302328,0.3295282,0.2853649,0.25843382,0.39354792
R-A-2023-42-DSR Soil Water,0.15654698,0.33342463,0.23698916,0.11144233,0.09560185,0.19548123,0.13550447,0.22637412,0.18003254,0.19783156,0.18775985,0.13093407,0.37019598
R-A-2019-5-GEF-Thailand,0.30881667,0.35010108,0.35875678,0.30142528,0.14718941,0.3449026,0.2698058,0.31139222,0.39912307,0.3744855,0.33872792,0.30928126,0.45755222
R-A-2023-58-CS RVC,0.3491852,0.41267183,0.46627906,0.3831407,0.28553253,0.46445534,0.34259745,0.2957226,0.40011138,0.35968763,0.40278727,0.4025415,0.53609926
